date,year,close,ret_1d,vol20,dd120,sma200_dist,f1_breadth,f2_gdr_basis,f3_rate_mom,f4_fx_vel,f4_fx_acc,f5_hhi,f6_herding,f7_panic,f8_illiq,f9_ratio,f10_spread,target_mae_60,target_mdd_60,state,in_risk_set,b1_vol,b2_dd,b3_sma,b4_composite
2016-09-07,2016,8146.1,-0.00687,0.126,-0.0364,0.141,0.381,-0.3729,2.077,0.0023,-0.1552,0.1038,-0.0569,0.0806,0.00212,-0.1136,0.0,0.0325,0.0405,0,1,0,0,0,0
2016-09-08,2016,8188.2,0.00517,0.1213,-0.0314,0.1456,0.3421,-0.3877,2.032,0.001,0.0075,0.0783,-0.0633,0.0806,0.00201,-0.1115,0.0,0.0375,0.0405,0,1,0,0,0,0
2016-09-14,2016,8132.75,-0.00677,0.1227,-0.0379,0.1367,0.3577,-0.3994,2.367,0.0019,0.0091,0.0743,-0.0646,0.0842,0.00195,-0.0891,0.0,0.0309,0.0405,0,1,0,0,0,0
2016-09-15,2016,7979.25,-0.01887,0.1266,-0.0561,0.114,0.2961,-0.4091,2.374,-0.0003,-0.0006,0.0672,-0.0718,0.103,0.00197,-0.0567,0.0,0.0123,0.0405,0,1,0,0,0,0
2016-09-18,2016,7916.41,-0.00788,0.1266,-0.0635,0.104,0.293,-0.4142,2.222,0.0021,0.0016,0.0699,-0.0672,0.1031,0.00182,-0.1023,0.0,0.0045,0.0405,0,1,0,0,0,0
2016-09-19,2016,7974.12,0.00729,0.1311,-0.0567,0.1108,0.2685,-0.4212,1.914,0.0026,0.0024,0.0679,-0.0701,0.0983,0.00179,-0.1212,0.0,0.0117,0.0405,0,1,0,0,0,0
2016-09-20,2016,8048.69,0.00935,0.137,-0.0479,0.12,0.2752,-0.4166,2.162,0.022,0.0418,0.0592,-0.0684,0.0947,0.00161,-0.1224,0.0,0.0208,0.0405,0,1,0,0,0,0
2016-09-21,2016,7937.79,-0.01378,0.1414,-0.061,0.1034,0.2531,-0.4118,2.019,0.0027,0.003,0.0592,-0.0702,0.1085,0.00181,-0.14,0.0,0.0071,0.0405,0,1,0,0,0,0
2016-09-22,2016,7913.94,-0.003,0.1366,-0.0638,0.0989,0.2803,-0.4112,2.286,0.0022,0.0023,0.0577,-0.0733,0.0989,0.0017,-0.177,0.0,0.0041,0.0405,0,1,0,0,0,0
2016-09-25,2016,7904.53,-0.00119,0.1352,-0.0649,0.0965,0.2733,-0.416,1.939,-0.0142,-0.0126,0.0614,-0.0646,0.0928,0.00171,-0.2239,0.0,0.003,0.0405,0,1,0,0,0,0
2016-09-26,2016,7974.84,0.00889,0.1385,-0.0566,0.1052,0.2533,-0.4143,2.304,0.0021,0.0,0.0631,-0.065,0.0928,0.00172,-0.2107,0.0,0.0118,0.0405,0,1,0,0,0,0
2016-09-27,2016,7948.93,-0.00325,0.1341,-0.0597,0.1007,0.255,-0.4195,2.232,0.0136,0.0246,0.0562,-0.0699,0.0847,0.00155,-0.4487,0.0,0.0085,0.0405,0,1,0,0,0,0
2016-09-28,2016,7907.92,-0.00516,0.1313,-0.0645,0.0942,0.271,-0.422,1.436,0.0021,0.002,0.0588,-0.0652,0.0801,0.00132,-0.4671,0.0,0.0034,0.0405,0,1,0,0,0,0
2016-09-29,2016,7881.11,-0.00339,0.1314,-0.0677,0.0897,0.2739,-0.4211,1.521,0.0114,0.0228,0.0634,-0.0687,0.0811,0.00128,-0.5048,0.0,-0.0,0.0405,0,1,0,0,0,0
